Event Name,Event Time,Status,External Url
AWS Made Easy Livestream - Ep 57 - Interview with Maria Petrova,"Jul 11, 2023 04:00 PM - Jul 11, 2023 05:00 PM",APPROVED,
 AMD Reception at re:Invent 2022,"Nov 29, 2022 03:00 AM - Nov 29, 2022 05:00 AM",APPROVED,https://bit.ly/3X5QjBM
Connect with CloudFix at FinOps X San Diego,"Jun 27, 2023 03:00 PM - Jul 01, 2023 01:00 AM",APPROVED,https://bit.ly/FinOpsXSanDiego
How To Reduce Kubernetes Spend and Improve Efficiency in 7 Days,"Oct 25, 2023 02:00 PM - Oct 25, 2023 03:00 PM",RELINQUISHED,https://meet.zoho.com/3Zs3qu8DXC
Connect with CloudFix at AWS Summit London,"Jun 07, 2023 07:00 AM - Jun 07, 2023 08:30 PM",APPROVED,https://bit.ly/AWSSummitLondon
GraphRAG Overview with David Hughes,"Mar 27, 2025 06:15 PM - Mar 27, 2025 07:15 PM",APPROVED,
Connect with CloudFix at AWS Summit Toronto,"Jun 14, 2023 12:00 PM - Jun 15, 2023 01:30 AM",APPROVED,https://bit.ly/AWSSummitToronto2023
AWS Summit London,"Jun 07, 2023 07:00 AM - Jun 07, 2023 05:30 PM",APPROVED,https://aws.amazon.com/events/summits/london/?trk=4bd579df-92e2-4d81-82c4-f9545b288a8a&sc_channel=sm
"AWS Made Easy Livestream, Ep #46","Apr 25, 2023 04:00 PM - Apr 25, 2023 05:00 PM",APPROVED,
The Cloud Cost Whisperer: Unveiling Secrets to Optimize Your Cloud Spending,"Sep 28, 2023 03:00 PM - Sep 28, 2023 08:00 PM",APPROVED,https://twitch.tv/aws
Getting Ready for FinOpsX 2025,"May 23, 2025 06:00 PM - May 23, 2025 07:00 PM",APPROVED,
"AWS Made Easy Livestream - Ep 56 - What's New, FinOps & AWS Systems Manager","Jul 04, 2023 04:00 PM - Jul 04, 2023 05:00 PM",APPROVED,
AWS Made Easy Livestream -Ep 50 - Graviton special with Arthur Petitepierre,"May 23, 2023 04:00 PM - May 23, 2023 05:00 PM",APPROVED,
AWS Insiders Ask Us Anything LiveStream #1,"May 03, 2022 04:00 PM - May 03, 2022 05:00 PM",APPROVED,
AWS Made Easy Livestream - Ep 66 - Compute Optimizer with Rick Ochs (AWS),"Sep 12, 2023 04:00 PM - Sep 12, 2023 05:00 PM",APPROVED,
CloudFix Booth #3252 at re:Invent 2022,"Nov 28, 2022 05:00 PM - Dec 03, 2022 02:00 AM",APPROVED,http://bit.ly/3t8ypR8
re:Invent Intelligence Report - Wednesday - AWS Made Easy,"Dec 04, 2024 03:30 PM - Dec 04, 2024 04:30 PM",APPROVED,
Connect with CloudFix at AWS Summit New York,"Jul 26, 2023 12:00 PM - Jul 27, 2023 01:30 AM",APPROVED,https://bit.ly/AWSSummitNewYork
"AWS, AI and Cost Optimization Marathon - AWS Made Easy Ep 100 Part 2","Apr 30, 2024 06:00 PM - Apr 30, 2024 07:00 PM",APPROVED,
"AI FinOps with Yuriy Prykhodko, Ep #101","Apr 09, 2024 06:00 PM - Apr 09, 2024 07:00 PM",APPROVED,
Stop waiting for savings: The right-now way to dramatically reduce AWS cost,"Aug 30, 2023 02:00 PM - Aug 30, 2023 02:30 PM",APPROVED,https://cloudfix.aurea.com/webinar-stop-waiting-for-aws-savings/
AWS Insiders Ask Us Anything LiveStream #2,"May 10, 2022 04:00 PM - May 10, 2022 05:00 PM",APPROVED,
Join CloudFix at AWS re:Invent 2023,"Nov 28, 2023 03:00 AM - Nov 30, 2023 11:00 AM",APPROVED,https://cloudfix.com/reinvent/?utm_source=linkedin&utm_medium=social&utm_campaign=aws-reinvent-2023&utm_content=event-listing
Pay less for AWS: 3 pain-free ways to save more now,"Apr 06, 2023 03:00 PM - Apr 06, 2023 04:00 PM",APPROVED,https://tinyurl.com/CloudFixWebinar
